Course Title,Years
Abstract Linear Algebra,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Accounting and Accountancy II,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Advanced Data Analysis,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Advanced Financial Reporting,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Amer Race&Ethnicity ClasicTrad,"2018, 2019, 2020, 2021, 2022, 2023"
Analog Signal Processing,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Applied Linear Algebra,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Atg Measurement & Disclosure,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Behav and Cogn Methods for SW,"2010, 2011, 2012, 2013, 2015, 2016, 2017, 2019, 2020, 2021, 2022"
Bilingualism,"2011, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2023"
Biology of Human Behavior,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Broadway Musicals,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Business Process Management,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018"
Calculus,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Calculus II,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Calculus III,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
"Cells, Tissues & Development","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Chado (The Way of Tea),"2014, 2015, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Child Psych,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Cities of the World,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Cognitive Psych,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Collection Development,"2011, 2012, 2013, 2014, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Collective Bargaining,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
College Physics: E&M & Modern,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
College Physics: Mech & Heat,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Comp Politics in Dev Nations,"2010, 2011, 2012, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2023, 2024"
Companion Animals in Society,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Computer Systems & Programming,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Contemp Social & Env Problems,"2010, 2011, 2013, 2014, 2015, 2016"
Contemporary Health,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Contemporary Nutrition,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Corporate & Commercial Law,"2018, 2019, 2020, 2021, 2022, 2023"
Corporate Finance,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Criminology,"2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Data Visualization,"2017, 2018, 2019, 2020, 2021, 2022, 2023"
Database Systems,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Decision Making for Atg,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Differential Equations,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Digital Signal Processing,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Disability in American Society,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Discrete Structures,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
"Diversity, Leadership & Policy","2017, 2018, 2019, 2020, 2021, 2022, 2023"
Drug Use and Abuse,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"
Economic Statistics I,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Economic Statistics II,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Economics of Human Resources,"2010, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"
Electrical & Electronic Ckts,"2018, 2019, 2020, 2021, 2022, 2023"
Electrical & Electronics Lab,"2018, 2019, 2020, 2021, 2022, 2023"
Elementary French I,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2021"
Elementary Organic Chemistry I,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Elementary Spanish II,"2017, 2018, 2020, 2021, 2022"
Environmental Economics,"2010, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Environmental Writing,"2013, 2014, 2015, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Extraterrestrial Life,"2010, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Family Communication,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Fields and Waves I,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Forensic Science,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Fundamentals of Accounting,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Game Theory,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
General Chemistry I,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
General Chemistry II,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Genomics and Human Health,"2017, 2018, 2019, 2020, 2021, 2022, 2023"
Global Business Horizons,"2013, 2014, 2018, 2019, 2020, 2021, 2022"
Global Development&Environment,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Global History,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Human Resource Management,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2020, 2021"
Human Sexuality,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
IT for Networked Organizations,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Industrial Org Psych,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Instruc Strat Tech Info Prof,"2017, 2019, 2020, 2021, 2023"
Instruct & Train System Design,"2019, 2020, 2021, 2022, 2023"
Inter Macroeconomic Theory,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Inter Microeconomic Theory,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Intermediate Spanish,"2010, 2011, 2015, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
International Business,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
International Economics,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"
Intr to Bibliographic Metadata,"2012, 2013, 2014, 2015, 2017, 2018, 2020, 2021"
Intro Computing: Non-Tech,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Intro Differential Equations,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Intro Latina/Latino Studies,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Intro Psych,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Intro to Abstract Algebra,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Intro to African American St,"2010, 2011, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Intro to Applied Econometrics,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Intro to Brain and Cognition,"2010, 2011, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Intro to Contemporary Dance,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Intro to Differential Eq Plus,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"
Intro to Health Communication,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Intro to Human Development,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Intro to Language Science,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Intro to Leadership Studies,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021"
Intro to Organizational Comm,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Intro to Social Psych,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Introd to the Art of Music,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021"
Introduction to Advertising,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Introduction to Astronomy,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Introduction to Epidemiology,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Introduction to Fashion,"2015, 2016, 2017, 2018, 2020, 2021, 2022, 2023"
Introduction to Journalism,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Introduction to Public Health,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Introduction to Sociology,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Introduction to Theatre Arts,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Introduction to World Music,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Introductory Biochemistry,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Introductory Dynamics,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Introductory Fluid Mechanics,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Introductory Solid Mechanics,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Leading Individuals and Teams,"2018, 2019, 2020, 2021, 2022, 2023"
Learning & Hum Dev w/ EdTech,"2018, 2020, 2021, 2022, 2023"
Libraries Info and Society,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Life With Animals and Biotech,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Logic and Reasoning,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Macroeconomic Principles,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Macroeconomics for Business,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021"
Managerial Accounting,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Media Entrepreneurship,"2013, 2014, 2015, 2018, 2019, 2020, 2021, 2022, 2023"
Medical Terms-GRK & LAT Roots,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Methods of Applied Statistics,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Methods of Educational Inquiry,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"
Mgmt and Organizational Beh,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Microcomputer Applications,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Microeconomic Principles,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Mythology of Greece and Rome,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Natural Disasters,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Nature and American Culture,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Operations Management,"2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Organismal & Evolutionary Biol,"2010, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Perception & Sensory Processes,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Personal Financial Planning,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Personal Wealth Management,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Physical Activity and Health,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Physical Chemistry I,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Poli & Cultural Context of Ed,"2017, 2019, 2020, 2021"
Politics of Education,"2013, 2019, 2020, 2021, 2022"
Politics of the European Union,"2010, 2011, 2013, 2014, 2015, 2017, 2018, 2019, 2020, 2021"
Politics of the National Parks,"2016, 2017, 2018, 2019, 2020, 2021, 2023"
Popular Music Studies,"2015, 2020, 2021, 2022, 2023, 2024"
Principles Bus Comm,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Principles of Marketing,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Probability with Engrg Applic,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Progrmg Languages & Compilers,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Psychopathol & Probs in Living,"2017, 2018, 2019, 2020, 2021, 2022, 2023"
Public Comm in Everyday Life,"2015, 2018, 2020, 2021, 2022, 2023"
RST in Modern Society,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Rare Book and Spec Colls,"2010, 2012, 2013, 2014, 2015, 2016, 2017, 2020, 2021"
Reference and Info Services,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
SW Practice with Groups,"2010, 2011, 2015, 2018, 2020, 2021"
Severe and Hazardous Weather,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Sex & Gender in Popular Media,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Soc & Psych of Phys Activity,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Social Welfare Pol and Svcs,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Sociology of Deviance,"2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Sociology of Gender,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Spanish Composition,"2015, 2016, 2017, 2018, 2019, 2020, 2021"
Spanish in the Professions,"2011, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Statistical Analysis,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Statistical Data Management,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Statistics,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Statistics and Probability I,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Statistics and Probability II,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Strategic Management,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
The Archaeology of Death,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
The Automobile,"2011, 2017, 2018, 2020, 2021, 2023"
The Culture of Disability,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
The Legal Environment of Bus,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
The Oceans,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2023"
The US Supreme Court,"2012, 2014, 2015, 2018, 2019, 2020, 2021, 2022, 2023"
Theory & Pract Data Cleaning,"2018, 2019, 2020, 2021"
Thermodynamics,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Topics in Clin/Comm Psych,"2010, 2011, 2020, 2021, 2022"
Understanding Visual Culture,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Univ Physics: Quantum Physics,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Univ Physics: Thermal Physics,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
University Physics: Elec & Mag,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
University Physics: Mechanics,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
World Animal Resources,"2010, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
World Religions,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
